 ( 41,  20.35980091,  6.11272104e+01,  0.14191799, 0.37672004, 0.29044704, 0.53893139,  4.85600146e-02,  0.20349209)
 ( 42,  33.43373847,  6.11408041e+01,  0.15380226, 0.39217631, 0.26758657, 0.5172877 ,  6.77922899e-02,  0.22590526)
 ( 43,  48.53694088,  6.60351798e+01,  0.14202753, 0.37686539, 0.39361694, 0.62738899,  1.55077963e-02,  0.17520465)
 ( 44,  49.87813558,  6.89010619e+01,  0.18609689, 0.43138949, 1.14153477, 1.06842631, -1.80824999e-01,  0.08796675)
 ( 45, 138.02251598,  6.96488361e+01,  0.11860144, 0.34438559, 0.19426992, 0.44076062,  5.61575370e-02,  0.20271253)
 ( 46,  90.97708494,  7.16232042e+01,  0.15110335, 0.38872015, 0.30744869, 0.55448056,  5.22805585e-02,  0.21049425)
 ( 47,  55.88172919,  7.17604489e+01,  0.82558947, 0.90861954, 0.91171367, 0.95483699,  5.32538648e-01,  0.60170766)
 ( 48,  81.62536871,  7.16452987e+01,  0.15464779, 0.39325283, 0.30489913, 0.55217673,  5.66444970e-02,  0.21576745)
 ( 49, 166.71460009,  7.50846518e+01,  0.11432044, 0.33811305, 0.24239183, 0.49233304,  3.64087757e-02,  0.17986314)
 ( 50,  83.80463817,  7.65397216e+01,  0.06736606, 0.25954973, 0.28882524, 0.53742464, -2.54706250e-02,  0.08680609)
 ( 51, 190.42256097,  7.62440435e+01,  0.23652991, 0.4863434 , 0.26696027, 0.51668198,  1.50721251e-01,  0.32026705)
 ( 52,  27.27782065,  7.71541217e+01,  0.13246968, 0.36396385, 0.39985551, 0.63234129,  3.94470008e-03,  0.16071129)
 ( 53, 182.05751246,  7.92906649e+01,  0.07143081, 0.26726543, 0.18216856, 0.42681209,  1.28766280e-02,  0.13007583)
 ( 54,  25.71944605,  8.11011046e+01,  0.18519328, 0.43034089, 0.33947001, 0.58264056,  7.60779196e-02,  0.24306357)
 ( 55,  81.68212651,  8.12232534e+01,  0.17962884, 0.42382643, 0.16097395, 0.40121558,  1.27887210e-01,  0.29486428)
 ( 56,  61.55308294,  8.17577245e+01,  0.18679304, 0.43219561, 0.49010106, 0.70007219,  2.92605580e-02,  0.20717241)
 ( 57,  64.95512338,  8.15277492e+01,  0.17212587, 0.41488055, 0.49407324, 0.70290344,  1.33166124e-02,  0.18894731)
 ( 58, 147.68095767,  8.38300938e+01,  0.10730116, 0.32756855, 0.17510972, 0.41846114,  5.10158918e-02,  0.19306319)
 ( 59, 110.71370607,  8.53777460e+01,  0.24989002, 0.49989001, 0.347804  , 0.5897491 ,  1.38095883e-01,  0.3103278 )
 ( 60,  50.11041105,  8.61054252e+01, 12.38061897, 3.51861034, 1.61227509, 1.26975395,  1.18623877e+01,  3.11047514)
