  id      xcentroid      ...        flux                mag         
----- ------------------ ... ------------------ --------------------
    1 104.05021098652944 ... 11.458197797285862  -2.6477907874808637
    2  178.5115446124196 ... 13.392700696770397  -2.8171704080708637
    3   262.287983570997 ...  26.18379830640216   -3.545081617364411
    4 138.87036500016072 ...  19.68703593374883  -3.2354508349722866
    5 309.85278091923016 ... 20.878180649216855  -3.2992316275363613
    6 200.32410415382722 ... 15.355889449856988  -2.9656874422077943
    7  160.5318140911927 ... 11.120364721067698  -2.6152975782206718
  ...                ... ...                ...                  ...
27912  5571.699019080654 ... 3.1395404202045314  -1.2421651969528593
27913  5382.052138781874 ...  3.337383083472425  -1.3085151506565493
27914  5405.021576648605 ... 1.5072757066268108  -0.4454817487609054
27915  5437.739275814228 ... 2.9594404022901077  -1.1780239962510495
27916  5519.166703715912 ... 3.1837171422417976   -1.257336189576441
27917  5549.293927037174 ... 2.4679637409684214  -0.9808469370121974
27918  5590.070299815124 ...   1.49029296717514 -0.43317912995796715
Length = 27918 rows
