[(  1,  16.73479067,  -0.22701938, 0.65890772,  0.52900171, -0.93238942, 25., 0.,  1.52627397e-02,  1.21787052, -2.14002797e-01)
 (  2, 101.10427457,   0.8103776 , 0.68397201,  0.40877422, -0.5741265 , 25., 0.,  2.90280525e-02,  1.27879456, -2.67001949e-01)
 (  3, 124.61477535,   1.4754154 , 0.92887173,  0.3883348 , -0.48044363, 25., 0.,  3.80264707e-02,  1.57138859, -4.90708988e-01)
 (  4, 127.3455135 ,   1.89701397, 0.30227484, -0.96100012, -0.23433574, 25., 0.,  2.10840162e-02,  1.34572983, -3.22394695e-01)
 (  5, 126.05193515,   2.58089025, 0.72355965, -0.52894039,  0.47630113, 25., 0.,  3.95840891e-02,  1.64599836, -5.41073498e-01)
 (  6, 107.63120453,   4.0430007 , 0.78089917, -0.21394601,  0.4338727 , 25., 0.,  3.42690572e-02,  1.58244653, -4.98322609e-01)
 (  7,  69.52174827,   4.68797751, 0.28389349, -0.26509831, -0.24339838, 25., 0.,  1.56928170e-02,  1.20564666, -2.03050121e-01)
 (  8, 147.02809032,   6.88168637, 0.84985896, -0.27994098, -0.14323648, 25., 0.,  3.24402750e-02,  1.47795243, -4.24151143e-01)
 (  9,  28.49280754,  10.64533003, 0.75259413,  0.26417568, -0.12809281, 25., 0.,  3.84579971e-02,  2.39414318, -9.47875299e-01)
 ( 10, 190.09623815,  11.36382593, 0.48386925, -0.30546397, -0.79281734, 25., 0.,  1.31128486e-02,  1.045936  , -4.87627775e-02)
 ( 11, 198.00401591,  15.37409801, 0.65249956,  0.25062248,  0.36514643, 25., 0.,  4.63411957e-02,  2.47369512, -9.83365432e-01)
 ( 12,  71.65771313,  17.2220067 , 0.24565371,  0.15167012,  0.08588253, 25., 0.,  9.80125926e-03,  1.25600747, -2.47480557e-01)
 ( 13,  27.27073521,  19.79145795, 0.37142711,  0.53696575,  0.93785503, 25., 0.,  8.52463208e-03,  1.02530562, -2.71333436e-02)
 ( 14, 167.06156757,  21.7605109 , 0.91282189, -0.70012025, -0.76488834, 25., 0.,  3.30054723e-02,  1.57514109, -4.93298652e-01)
 ( 15,  38.46159183,  26.80684244, 0.30687267,  0.31667432, -0.16370933, 25., 0., -1.41576736e-03,  1.44002274, -3.95923375e-01)
