[( 1, 267.31919753,  21.33998957,   1203.84981605,  34.69653884, 1.26805831e+02,  11.26080946,   1163.09079903,  31.07699294)
 ( 2, 147.49323762,  53.34952012,   2003.32744136,  44.75854631, 1.12903199e+02,  10.62559171,   1967.03712732,  41.34317754)
 ( 3,  27.15441475, 101.19190009,   1245.48897793,  35.2914859 , 3.35679238e+04, 183.21551351,  -9544.20081743, -23.59921487)
 ( 4,  40.33673223, 101.82849387,   1617.79086665,  40.22177108, 4.56553075e+04, 213.67102713, -13057.12938985, -28.45820192)
 ( 5,  33.66050124, 107.88649779, 249025.38351239, 499.02443232, 9.30407648e+03,  96.45764094, 246034.78749938, 468.02019059)
 ( 6,  42.32497301, 108.67825179,   1724.84352858,  41.5312354 , 5.73479057e+04, 239.47423148, -16708.41187699, -35.44262472)
 ( 7,  12.46161471, 119.12636101,   1918.14483165,  43.79663014, 1.14134404e+05, 337.83783459, -34767.91347401, -64.7941024 )
 ( 8,  19.11897276, 119.17778815, 158468.8525947 , 398.08146329, 6.44159131e+03,  80.25952466, 156398.34110083, 372.28375893)
 ( 9,  28.98880468, 120.46488316,   1184.92753504,  34.42277645, 1.37097458e+04, 117.08862278,  -3221.77647984,  -3.2128523 )
 (10, 175.55062078, 252.97338909,   1011.32795983,  31.80138317, 4.35169709e+04, 208.60721556, -12976.2698234 , -35.25093612)
 (11, 181.79427765, 252.95560371,  71082.83649068, 266.61364661, 2.54370278e+03,  50.43513422,  70265.21774156, 250.40235347)]
