id xcenter ycenter aperture_sum
1 107.40158691078146 1.6535688409191769 68.52813362841849
2 349.938214661553 34.09858362456825 7.987769593619621
3 525.4449071063398 71.30344404667053 27.194515302715857
4 381.6719177613018 96.34209003812526 43795.400793759676
5 0.526312076666274 143.68200936822063 29.074789688162927
6 104.46797087642426 209.6643907480896 963.1401810756417
7 349.07349419511206 235.4942125636256 1176.4835664912198
8 381.3277611396367 319.39752843723954 71.03739698512904
9 344.540457740356 320.12490126315913 127.38017549399015
10 695.2259914891141 386.03293759623864 4.8288722398998125
11 693.8344936633654 523.5173500658175 281.7494082148413
12 397.4943922633732 528.918507725354 144.17390526421406
13 677.1491851832316 537.9724149814587 4479.429597126087
