id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag
1 0.8064395374940017 40.04305508436788 0.468964216401043 -0.30785328954456753 0.6164878385399247 25.0 0.0 30.54770130019193 2.0211649756718892 -0.7640044095920319
2 88.79956140550843 58.84568931520913 0.558294498877822 0.5136344718362899 -0.47458444162831076 25.0 0.0 36.218461927862656 2.2517171205981645 -0.8812845748178955
3 7.328434526380554 69.5156220324513 0.5970223288209799 -0.9902229999019929 -0.3677732882751204 25.0 0.0 28.2874797048335 1.4250307399347724 -0.3845605819842234
4 71.39201494648567 111.67855457865032 0.5196724941219819 -0.07293019182386276 0.38865799351294045 25.0 0.0 30.0908119385426 1.2193005378791477 -0.215276913462321
5 206.5524841594021 114.05764949550421 0.6506432134885698 0.9917528207729931 -0.6371226317458731 25.0 0.0 24.754059643579954 1.5413215137181369 -0.46973310080208397
6 290.81980079648145 113.6713740964111 0.6430087933779545 -0.09541554335946514 -0.2261751623126485 25.0 0.0 41.445507373907745 2.1351921331079224 -0.8235924016745169
7 341.22590232689697 114.47439289227742 0.5191441535865722 -0.860556567848678 -0.39795049817379136 25.0 0.0 23.65696720774481 1.0763960788677842 -0.07993026757975247
8 313.4809249369467 129.79531153878077 0.6196365438299545 -0.36416701339821567 -0.9040072517542538 25.0 0.0 32.205276101127296 1.6872552687441826 -0.5679519824365188
9 200.50844425205247 130.3249145251344 0.36839322322757606 0.09087190631722977 -0.22452517495085178 25.0 0.0 26.0616758687501 1.067471572738026 -0.07089079597006186
10 10.872821371928692 142.50648812470342 0.6466298462154675 0.13850521836332982 0.7189458640127597 25.0 0.0 26.413352832962417 1.1411454625758504 -0.14335251938789856
11 124.98844282543168 147.82993328621993 0.4556966042329859 -0.04138895629887524 0.67091498778985 25.0 0.0 40.57868469566492 1.8876625273678185 -0.6898108864487582
12 145.03763842687044 168.50637255629331 0.5701020092842325 -0.02973170288701147 0.10804684626540957 25.0 0.0 77.74789617792747 6.298006692358877 -1.9980077944719332
13 394.70347564634125 187.545695732136 0.6053888128969425 -0.17663263158596582 0.15140081222162977 25.0 0.0 106.07155462758318 8.561941271209506 -2.3314306113978183
14 48.70622094028462 200.38639624622746 0.5563443241052135 -0.5730567456777014 -0.38716010778330723 25.0 0.0 42.28870614434029 2.0653478711724045 -0.7874830283667956
15 426.68129895275075 210.99941585113444 0.581956822903987 -0.2564978080499369 0.4101751816817613 25.0 0.0 71.35991807691691 5.038076244355452 -1.7556618391538916
16 305.66418356557824 216.1095259373655 0.4958937543016949 0.018404255168539316 0.40299126313766676 25.0 0.0 21.564435985170974 1.129775940761019 -0.13248080485989658
17 10.914912580605002 224.06603573687934 0.5057191364084964 -0.7830489024133775 0.45914226256028173 25.0 0.0 50.76788340338447 4.028193888112619 -1.512775915448046
18 355.83177174460354 252.09033401412367 0.5247423718988261 -0.01542369728380599 0.03998195526685211 25.0 0.0 30.77557895203725 1.3425017743934446 -0.3197871709546301
19 139.57526527495273 275.22358348387263 0.6714573499096004 -0.20166818358038133 0.23336192730652583 25.0 0.0 24.391793845864928 1.0880125421648614 -0.0915847544017147
20 433.3024759192166 288.60871367718977 0.4437378655853538 0.4050695181704024 -0.25990321094780355 25.0 0.0 24.896869380832715 1.1362039076617974 -0.138640696451492
