id xcenter ycenter aperture_sum
1 336.9972981779696 1.7481588441446587 21.461738549993587
2 525.4717656240095 71.35856944444201 23.126628265021974
3 374.8277927201105 89.24879171938207 160.25056884947912
4 388.52795876687753 90.51371454032662 277.5937616575523
5 381.5608841233452 96.45812017942288 37531.574177192015
6 375.71306937668305 102.67095685857475 283.855933629063
7 389.1678267478406 103.5828223247002 124.01589651197202
8 345.7244634616611 111.10858451117181 259.89068464804575
9 0.364347951022695 143.72617434977613 26.012221574202513
10 139.85263629473178 181.40754522654623 62.1992411546821
11 104.61090704654454 209.70042340705342 759.9288195175773
12 349.0930283936643 235.4796602490288 971.4081813531167
13 674.13069582424 258.0356938907241 523.273979596953
14 219.3268455695827 261.17152363724716 45.308663238387794
15 357.245983322299 317.8002999900287 5552.321129608608
16 381.37349319089816 319.4482197542387 49.712619941631196
17 196.88329432345134 355.37403616965537 190.9625452490343
18 578.6626679366609 371.1624051451833 19.264500942870757
19 390.7526364989314 451.34611125673615 18.036222107637627
20 410.82244223321993 526.7949286178493 8528.160438890392
21 685.8570938182861 535.8284655030056 21066.604482566774
22 681.4591007365987 542.1758280352171 225.4441277510873
